2019-07-21 15:15:04 status half-installed login:armhf 1:4.5-1.1
2019-07-21 15:15:04 status unpacked login:armhf 1:4.5-1.1
2019-07-21 15:15:05 install passwd:armhf <none> 1:4.5-1.1
2019-07-21 15:15:05 status half-installed passwd:armhf 1:4.5-1.1
2019-07-21 15:15:05 status unpacked passwd:armhf 1:4.5-1.1
2019-07-21 15:15:05 install libsystemd0:armhf <none> 241-5
2019-07-21 15:15:05 status half-installed libsystemd0:armhf 241-5
2019-07-21 15:15:05 status unpacked libsystemd0:armhf 241-5
2019-07-21 15:15:05 install libudev1:armhf <none> 241-5
2019-07-21 15:15:05 status half-installed libudev1:armhf 241-5
2019-07-21 15:15:05 status unpacked libudev1:armhf 241-5
2019-07-21 15:15:06 install sysvinit-utils:armhf <none> 2.93-8
2019-07-21 15:15:06 status half-installed sysvinit-utils:armhf 2.93-8
2019-07-21 15:15:06 status unpacked sysvinit-utils:armhf 2.93-8
2019-07-21 15:15:06 install tar:armhf <none> 1.30+dfsg-6
2019-07-21 15:15:06 status half-installed tar:armhf 1.30+dfsg-6
2019-07-21 15:15:06 status unpacked tar:armhf 1.30+dfsg-6
2019-07-21 15:15:06 install tzdata:all <none> 2019a-1
2019-07-21 15:15:06 status half-installed tzdata:all 2019a-1
2019-07-21 15:15:07 status unpacked tzdata:all 2019a-1
2019-07-21 15:15:07 install bsdutils:armhf <none> 1:2.33.1-0.1
2019-07-21 15:15:07 status half-installed bsdutils:armhf 1:2.33.1-0.1
2019-07-21 15:15:07 status unpacked bsdutils:armhf 1:2.33.1-0.1
2019-07-21 15:15:07 install fdisk:armhf <none> 2.33.1-0.1
2019-07-21 15:15:07 status half-installed fdisk:armhf 2.33.1-0.1
2019-07-21 15:15:07 status unpacked fdisk:armhf 2.33.1-0.1
2019-07-21 15:15:07 install libblkid1:armhf <none> 2.33.1-0.1
2019-07-21 15:15:07 status half-installed libblkid1:armhf 2.33.1-0.1
2019-07-21 15:15:08 status unpacked libblkid1:armhf 2.33.1-0.1
2019-07-21 15:15:08 install libfdisk1:armhf <none> 2.33.1-0.1
2019-07-21 15:15:08 status half-installed libfdisk1:armhf 2.33.1-0.1
2019-07-21 15:15:08 status unpacked libfdisk1:armhf 2.33.1-0.1
2019-07-21 15:15:08 install libmount1:armhf <none> 2.33.1-0.1
2019-07-21 15:15:08 status half-installed libmount1:armhf 2.33.1-0.1
2019-07-21 15:15:08 status unpacked libmount1:armhf 2.33.1-0.1
2019-07-21 15:15:08 install libsmartcols1:armhf <none> 2.33.1-0.1
2019-07-21 15:15:08 status half-installed libsmartcols1:armhf 2.33.1-0.1
2019-07-21 15:15:08 status unpacked libsmartcols1:armhf 2.33.1-0.1
2019-07-21 15:15:09 install libuuid1:armhf <none> 2.33.1-0.1
2019-07-21 15:15:09 status half-installed libuuid1:armhf 2.33.1-0.1
2019-07-21 15:15:09 status unpacked libuuid1:armhf 2.33.1-0.1
2019-07-21 15:15:09 install mount:armhf <none> 2.33.1-0.1
2019-07-21 15:15:09 status half-installed mount:armhf 2.33.1-0.1
2019-07-21 15:15:09 status unpacked mount:armhf 2.33.1-0.1
2019-07-21 15:15:09 install util-linux:armhf <none> 2.33.1-0.1
2019-07-21 15:15:09 status half-installed util-linux:armhf 2.33.1-0.1
2019-07-21 15:15:09 status unpacked util-linux:armhf 2.33.1-0.1
2019-07-21 15:15:10 install liblzma5:armhf <none> 5.2.4-1
2019-07-21 15:15:10 status half-installed liblzma5:armhf 5.2.4-1
2019-07-21 15:15:10 status unpacked liblzma5:armhf 5.2.4-1
2019-07-21 15:15:10 install zlib1g:armhf <none> 1:1.2.11.dfsg-1
2019-07-21 15:15:10 status half-installed zlib1g:armhf 1:1.2.11.dfsg-1
2019-07-21 15:15:10 status unpacked zlib1g:armhf 1:1.2.11.dfsg-1
2019-07-21 15:15:10 startup packages configure
2019-07-21 15:15:10 configure debian-archive-keyring:all 2019.1 <none>
2019-07-21 15:15:10 status unpacked debian-archive-keyring:all 2019.1
2019-07-21 15:15:10 status half-configured debian-archive-keyring:all 2019.1
2019-07-21 15:15:11 status installed debian-archive-keyring:all 2019.1
2019-07-21 15:15:11 configure libaudit-common:all 1:2.8.4-3 <none>
2019-07-21 15:15:11 status unpacked libaudit-common:all 1:2.8.4-3
2019-07-21 15:15:11 status half-configured libaudit-common:all 1:2.8.4-3
2019-07-21 15:15:11 status installed libaudit-common:all 1:2.8.4-3
2019-07-21 15:15:11 configure libsemanage-common:all 2.8-2 <none>
2019-07-21 15:15:11 status unpacked libsemanage-common:all 2.8-2
2019-07-21 15:15:11 status half-configured libsemanage-common:all 2.8-2
2019-07-21 15:15:11 status installed libsemanage-common:all 2.8-2
2019-07-21 15:15:11 configure ncurses-base:all 6.1+20181013-2 <none>
2019-07-21 15:15:11 status unpacked ncurses-base:all 6.1+20181013-2
2019-07-21 15:15:11 status half-configured ncurses-base:all 6.1+20181013-2
2019-07-21 15:15:11 status installed ncurses-base:all 6.1+20181013-2
2019-07-21 15:15:11 configure gcc-8-base:armhf 8.3.0-6 <none>
2019-07-21 15:15:11 status unpacked gcc-8-base:armhf 8.3.0-6
2019-07-21 15:15:11 status half-configured gcc-8-base:armhf 8.3.0-6
2019-07-21 15:15:11 status installed gcc-8-base:armhf 8.3.0-6
2019-07-21 15:15:11 configure libc6:armhf 2.28-10 <none>
2019-07-21 15:15:11 status unpacked libc6:armhf 2.28-10
2019-07-21 15:15:11 status half-configured libc6:armhf 2.28-10
2019-07-21 15:15:12 status installed libc6:armhf 2.28-10
